"2007-01-10","11:30","USD","Crude Oil Inventories","L","-5.0M","-1.5M","-1.3M","","140","1","1","3315"
"2007-01-10","17:30","AUD","MI Inflation Expectations","L","3.5%","","3.5%","","146","1","1","10396"
"2007-01-10","20:30","AUD","Employment Change","H","44.6K","12.0K","43.0K","36.2K","146","3","1","3285"
"2007-01-10","20:30","AUD","Unemployment Rate","M","4.6%","4.8%","4.6%","","146","2","1","3286"
"2007-01-10","21:35","CNY","Trade Balance","H","21.0B","21.6B","22.9B","","148","3","1","18393"
"2007-01-11","01:00","JPY","Leading Indicators","L","20.0%","20.0%","54.5%","50.0%","145","1","1","3306"
"2007-01-11","02:00","JPY","Prelim Machine Tool Orders y/y","L","-2.4%","","4.9%","4.8%","145","1","1","3307"
"2007-01-11","05:30","GBP","Industrial Production m/m","L","0.5%","0.2%","-0.6%","-0.8%","143","1","1","3287"
"2007-01-11","05:30","GBP","Manufacturing Production m/m","H","0.3%","0.2%","-0.3%","-0.4%","143","3","1","3288"
"2007-01-11","06:00","EUR","Final GDP q/q","L","0.5%","0.5%","0.5%","","142","1","1","21666"
"2007-01-11","08:00","GBP","MPC Rate Statement","H","","","","","143","3","1","8152"
"2007-01-11","08:00","GBP","Official Bank Rate","H","5.25%","5.00%","5.00%","","143","3","1","3289"
"2007-01-11","08:45","EUR","Minimum Bid Rate","M","3.50%","3.50%","3.50%","","142","2","1","3290"
"2007-01-11","09:00","USD","FOMC Member Geithner Speaks","L","","","","","140","1","1","3308"
"2007-01-11","09:30","EUR","ECB Press Conference","H","","","","","142","3","1","3291"
"2007-01-11","09:30","USD","Unemployment Claims","L","299K","320K","329K","","140","1","1","3292"
"2007-01-11","11:30","GBP","CB Leading Index m/m","L","0.1%","","0.0%","-0.1%","143","1","1","3309"
"2007-01-11","11:30","USD","Natural Gas Storage","L","-49B","-45B","-47B","","140","1","1","8325"
"2007-01-11","17:45","NZD","Building Consents m/m","M","-12.0%","","-3.6%","-1.9%","147","2","1","9874"
"2007-01-11","19:50","JPY","Bank Lending y/y","L","1.7%","","1.2%","","145","1","1","11985"
"2007-01-11","19:50","JPY","M2 Money Stock y/y","L","0.8%","0.8%","0.7%","","145","1","1","3310"
"2007-01-11","20:01","GBP","NIESR GDP Estimate","L","0.7%","","0.6%","","143","1","1","9923"
"2007-01-12","01:00","JPY","Economy Watchers Sentiment","L","48.9","49.8","48.9","","145","1","1","3303"
"2007-01-12","03:45","EUR","French CPI m/m","L","0.2%","0.1%","0.1%","","142","1","1","3304"
"2007-01-12","09:30","USD","Core Retail Sales m/m","H","1.0%","0.5%","1.1%","","140","3","1","3294"
"2007-01-12","09:30","USD","Import Prices m/m","M","1.1%","0.5%","0.2%","","140","2","1","3296"
